,ophys_session_id,was_analyzed,n_cells_total,n_cells_analyzed,n_saccades,n_saccades_nasal,n_saccades_temporal
775,573261515,True,327,327,95,32,50
776,712919679,True,10,10,221,88,117
777,682049099,True,40,36,69,16,47
778,504108263,True,98,98,112,51,55
779,642664460,True,9,9,50,12,35
780,652338101,True,197,197,64,36,28
781,673171528,True,8,8,416,219,195
782,699846423,True,125,125,566,372,191
783,583136567,True,49,49,55,19,23
784,546698458,False,18,0,0,0,0
785,659743436,True,12,12,794,361,433
786,612555380,True,28,28,94,28,60
787,507691735,True,243,243,589,318,237
788,648377368,True,181,181,311,153,155
789,667011230,True,99,59,33,13,19
790,637122339,True,83,83,148,89,58
791,577720111,True,45,45,111,62,41
792,569635505,False,,,,,
793,571177752,True,43,43,228,79,122
794,638267173,True,147,147,320,186,132
795,611644893,True,8,8,180,40,139
796,685816006,True,33,20,66,21,43
797,508596945,True,183,183,83,27,43
798,666274565,True,19,19,743,434,309
799,707921521,True,47,47,717,464,247
800,595621868,True,4,4,134,44,75
801,601385772,True,16,16,113,28,53
802,645699801,True,18,18,49,31,16
803,639756225,True,242,242,57,32,24
804,555801657,True,129,129,165,82,77
805,657648983,True,10,10,462,216,241
806,546341286,False,139,0,9,2,5
807,570008444,True,235,157,37,16,13
808,537153918,True,61,61,215,131,76
809,671614170,False,,,,,
810,551888519,True,170,170,303,193,99
811,666274740,True,44,44,273,149,121
812,531008833,True,89,89,250,120,108
813,647885322,True,16,16,914,500,414
814,605087965,True,38,38,124,48,72
815,588483711,True,38,38,61,18,34
816,583631286,True,12,12,685,318,336
817,711590232,True,13,13,144,45,72
818,601274353,True,11,11,385,144,229
819,710937195,True,14,14,147,40,79
820,613974468,True,12,12,568,307,260
821,649324898,True,12,12,1341,775,566
822,593902390,True,89,89,202,53,143
823,577885923,True,4,4,476,243,176
824,580253793,True,10,10,147,51,78
825,511977695,False,165,0,20,9,10
826,587059960,True,65,65,322,204,109
827,510390912,False,87,0,0,0,0
828,645474010,True,25,17,38,19,10
829,562382668,True,235,174,19,4,15
830,653123929,True,287,287,75,30,41
831,557589954,True,173,173,108,71,33
832,510536157,True,58,58,376,218,134
833,530047022,True,140,64,0,0,0
834,670399058,True,19,19,540,296,244
835,577820172,True,10,10,90,51,39
836,639929075,True,120,120,493,278,215
